set row := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set col := 1 2;
param per:
	1 		2 :=
1	0.22	0.22
2	0.22	0.22
3	0.22	0.22
4	0.22	0.22
5	0.18	0.18
6	0.18	0.18
7	0.18	0.18
8	0.18	0.18
9	0.2		0.2
10	0.2		0.2
11	0.2		0.2
12	0.2		0.2
13	0.25	0.25
14	0.25	0.25
15	0.25	0.25;
param p:
	1		2 :=
1	960000	700000
2	934000	680000
3	895000	650000
4	817000	590000
5	460000	420000
6	0		380000
7	0		320000
8	0		280000
9	330000	300000
10	0		270000
11	0		240000
12	0		200000
13	0		220000
14	0		160000
15	0		140000;

param lot_size :
	1		2 :=
1	21780	21780
2	21780	21780
3	21780	21780
4	21780	21780
5	10890	4950
6	0		4356
7	0		4356
8	0		4356
9	7260	4356
10	0		4356
11	0		4356
12	0		4356
13	0		1500
14	0		1500
15	0		1500;
param parking :
	1		2 :=
1	400		400
2	200		200
3	200		200
4	0		0
5	200		200
6	0		400
7	0		200
8	0		200
9	400		400
10	0		200
11	0		200
12	0		0	
13	0		600
14	0		400
15	0		400;
